8.185757360701522156e-01,3.178891959552390123e-01,6.154473630553318753e-01,5.006253060105440023e-01,5.619687189563260521e-02,9.570718081587756831e-01,1.879671145677920263e-01,3.344768467362891906e-01,6.573515106192182600e-01,7.843386150785490729e-01
2.817416608585089355e-01,1.329397214583589726e-01,6.117653524932827880e-01,8.298632341981174720e-01,4.346428854751271942e-02,6.057465165490621972e-01,7.223694034910193018e-01,7.162175056066102385e-01,2.635937792996806417e-01,9.480333665995129833e-01
3.178716458818774404e-01,2.217402454753437668e-01,2.042992957532825393e-01,8.858296336647091263e-01,2.895333725467186259e-02,1.720086925395373223e-01,4.831357449700947049e-01,4.414897894492736397e-01,1.428573856893520233e-01,8.809012757799069560e-01
8.587505542890017107e-01,8.806516290513606293e-01,9.235579110007415826e-01,3.780931724356871859e-01,7.411344926106619990e-01,4.086733389868155708e-01,9.956656423523103649e-01,8.715285711259410650e-01,1.568857941007553158e-01,9.440787922350157846e-01
7.159748539159549452e-02,7.251952494906359625e-01,4.460432585473766975e-01,6.046335892228893449e-02,4.469144062597663059e-02,4.098091961415062379e-01,9.296258754202346708e-02,4.101240802080959869e-01,4.884743383543096451e-01,7.156125850822731005e-01
7.184872374899073932e-01,3.200950875100189164e-01,6.228662480097044707e-01,4.203877152065003120e-01,9.277313128906595763e-01,7.279469788457918478e-01,5.447568837937121211e-01,2.456751320098812252e-01,4.584713872270627100e-01,1.987756656007330092e-01
7.009187303798625202e-03,2.287758382780378241e-01,5.274642443659326441e-01,3.831119086428721454e-01,6.840316733205278332e-01,6.389151877346457287e-01,4.457690525757904698e-01,4.908079427794265204e-01,1.633351376111489284e-01,9.465518456454781182e-01
9.079047550142037570e-01,8.671371015698037255e-02,5.671461134015199912e-01,2.611431821913545726e-01,4.168806733300607359e-01,1.073946829185897789e-01,9.818431565515726156e-01,1.257413169262454611e-01,7.834521687867372908e-01,5.550819468519230249e-01
5.049774430438047634e-01,2.415550159096688798e-01,5.409873778639281428e-01,4.599387227646557497e-01,9.706605788307121063e-01,8.409142819867296836e-01,1.248576936634828716e-01,7.989612997897365121e-01,2.333928854138909159e-01,5.321013419672671052e-02
4.047224706043106579e-02,5.703155137778714856e-02,1.396090514777759140e-02,7.603557046184079571e-01,2.404102548566265929e-01,5.629531587088171252e-01,4.117293174124829758e-01,4.119201171649669035e-01,3.015800838515251270e-01,5.988051619526072455e-01
